"Reference","Value","Datasheet","Footprint","Qty","DNP","Beschreibung"
"C1,C2,C18,C19,C21,C22,C23,C24,C25,C26,C27,C36,C38,C43,C45,C46,C47,C48,C49,C50,C52,C53,C54,C55,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C79,C80,C81,C82,C83,C84,C85,C86,C87,C88,C89,C90,C91,C92,C93,C100,C103,C104,C105,C106,C107,C108,C109,C110,C119,C120,C121,C122,C123","0.1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","75","","-- verschiedene Werte --"
"C3,C4,C7,C8,C11,C12,C17,C20","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","8","","Unpolarized capacitor, small symbol"
"C5,C6,C9,C10,C13,C14,C30,C31,C34,C35","10nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10","","Unpolarized capacitor, small symbol"
"C15,C101","2.2uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","Unpolarized capacitor, small symbol"
"C28,C29,C32,C33","4.7nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","4","","Unpolarized capacitor, small symbol"
"C117","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","Unpolarized capacitor, small symbol"
"C113,C114,C115,C116","0.1uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","4","","Unpolarized capacitor, small symbol"
"C37,C39,C42,C44,C51,C56","10uF","~","Capacitor_SMD:CP_Elec_5x5.3","6","","Polarized capacitor, small US symbol"
"C111,C112","22uF","~","Capacitor_SMD:CP_Elec_5x5.3","2","","Polarized capacitor, small US symbol"
"C16,C40,C41,C95,C97,C98,C99,C102,C118","47uF","~","Capacitor_SMD:CP_Elec_6.3x5.9","9","","Polarized capacitor, small US symbol"
"C94,C96","220uF","~","Capacitor_SMD:CP_Elec_8x6.5","2","","Polarized capacitor, small US symbol"
